GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0007368	0.0474326765221404	1.51801939142631	19.7743124468387	27	96	determination of left/right symmetry	ENSXMAG00000001821,ENSXMAG00000004642,ENSXMAG00000004835,ENSXMAG00000009982,ENSXMAG00000010381,ENSXMAG00000011005,ENSXMAG00000011837,ENSXMAG00000014934,ENSXMAG00000015268,ENSXMAG00000017157,ENSXMAG00000017299,ENSXMAG00000002084,ENSXMAG00000004564,ENSXMAG00000006811,ENSXMAG00000007536,ENSXMAG00000007968,ENSXMAG00000009602,ENSXMAG00000013888,ENSXMAG00000015423,ENSXMAG00000004259,ENSXMAG00000006003,ENSXMAG00000008851,ENSXMAG00000013404,ENSXMAG00000013581,ENSXMAG00000008586,ENSXMAG00000015247,ENSXMAG00000018837	fn1a,glis2b,NOMO1,pkd2,smyd4,smo,ttc17,popdc2,exoc5,ssx2ipa,prickle1a,sox17,znf703,MEGF8,yap1,tmsb4x,ugdh,wnt11,tead1a,bmpr1aa,bbs2,odad4,zic3,apln,rad21a,aplnra,ube2ia
GO:0007389	0.0395831407933862	1.38682005256111	36.0469237312163	46	175	pattern specification process	ENSXMAG00000001152,ENSXMAG00000001157,ENSXMAG00000001821,ENSXMAG00000004055,ENSXMAG00000004642,ENSXMAG00000004835,ENSXMAG00000007110,ENSXMAG00000009982,ENSXMAG00000010381,ENSXMAG00000011005,ENSXMAG00000011072,ENSXMAG00000011837,ENSXMAG00000012475,ENSXMAG00000014934,ENSXMAG00000015268,ENSXMAG00000017157,ENSXMAG00000017299,ENSXMAG00000002084,ENSXMAG00000004564,ENSXMAG00000006275,ENSXMAG00000006412,ENSXMAG00000006811,ENSXMAG00000007385,ENSXMAG00000007536,ENSXMAG00000007968,ENSXMAG00000009602,ENSXMAG00000012381,ENSXMAG00000013351,ENSXMAG00000013888,ENSXMAG00000015423,ENSXMAG00000017124,ENSXMAG00000018968,ENSXMAG00000003038,ENSXMAG00000004259,ENSXMAG00000006003,ENSXMAG00000006106,ENSXMAG00000008851,ENSXMAG00000010188,ENSXMAG00000012330,ENSXMAG00000013404,ENSXMAG00000013581,ENSXMAG00000017367,ENSXMAG00000019787,ENSXMAG00000008586,ENSXMAG00000015247,ENSXMAG00000018837	kdm6al,vangl2,fn1a,fstl1b,glis2b,NOMO1,ccdc80,pkd2,smyd4,smo,acvrl1,ttc17,fgf22,popdc2,exoc5,ssx2ipa,prickle1a,sox17,znf703,MYH10,map2k7,MEGF8,ephb4b,yap1,tmsb4x,ugdh,agrn,prdm1a,wnt11,tead1a,bmpr1ba,lhx4,pax2a,bmpr1aa,bbs2,robo3,odad4,fsta,notum1a,zic3,apln,aida,twist1b,rad21a,aplnra,ube2ia
GO:0007399	0.0282819254149981	1.24532389026295	99.9014743407996	117	485	nervous system development	ENSXMAG00000000682,ENSXMAG00000001152,ENSXMAG00000001157,ENSXMAG00000001603,ENSXMAG00000001821,ENSXMAG00000001857,ENSXMAG00000001864,ENSXMAG00000003908,ENSXMAG00000004289,ENSXMAG00000004318,ENSXMAG00000004792,ENSXMAG00000004807,ENSXMAG00000004822,ENSXMAG00000007610,ENSXMAG00000007759,ENSXMAG00000007930,ENSXMAG00000008152,ENSXMAG00000008165,ENSXMAG00000008680,ENSXMAG00000009592,ENSXMAG00000010350,ENSXMAG00000010546,ENSXMAG00000010812,ENSXMAG00000011005,ENSXMAG00000011418,ENSXMAG00000011562,ENSXMAG00000012134,ENSXMAG00000012475,ENSXMAG00000014010,ENSXMAG00000015268,ENSXMAG00000015312,ENSXMAG00000015332,ENSXMAG00000015928,ENSXMAG00000016530,ENSXMAG00000017038,ENSXMAG00000017299,ENSXMAG00000017524,ENSXMAG00000018783,ENSXMAG00000019150,ENSXMAG00000019384,ENSXMAG00000019439,ENSXMAG00000019630,ENSXMAG00000019883,ENSXMAG00000000843,ENSXMAG00000001299,ENSXMAG00000001638,ENSXMAG00000001898,ENSXMAG00000002351,ENSXMAG00000002408,ENSXMAG00000004237,ENSXMAG00000004396,ENSXMAG00000004564,ENSXMAG00000004738,ENSXMAG00000006213,ENSXMAG00000006275,ENSXMAG00000007226,ENSXMAG00000007536,ENSXMAG00000008075,ENSXMAG00000008522,ENSXMAG00000009518,ENSXMAG00000010189,ENSXMAG00000010464,ENSXMAG00000011345,ENSXMAG00000011687,ENSXMAG00000012381,ENSXMAG00000013170,ENSXMAG00000013351,ENSXMAG00000013527,ENSXMAG00000013646,ENSXMAG00000014457,ENSXMAG00000016132,ENSXMAG00000016162,ENSXMAG00000018968,ENSXMAG00000019951,ENSXMAG00000020066,ENSXMAG00000002246,ENSXMAG00000002941,ENSXMAG00000003038,ENSXMAG00000003093,ENSXMAG00000003393,ENSXMAG00000004274,ENSXMAG00000006003,ENSXMAG00000006106,ENSXMAG00000007016,ENSXMAG00000007694,ENSXMAG00000009344,ENSXMAG00000009555,ENSXMAG00000010166,ENSXMAG00000010188,ENSXMAG00000010963,ENSXMAG00000011534,ENSXMAG00000011865,ENSXMAG00000012330,ENSXMAG00000013401,ENSXMAG00000014734,ENSXMAG00000014974,ENSXMAG00000017004,ENSXMAG00000018904,ENSXMAG00000019292,ENSXMAG00000019513,ENSXMAG00000019653,ENSXMAG00000020149,ENSXMAG00000000174,ENSXMAG00000001523,ENSXMAG00000001845,ENSXMAG00000001877,ENSXMAG00000002131,ENSXMAG00000006044,ENSXMAG00000006373,ENSXMAG00000008586,ENSXMAG00000010941,ENSXMAG00000011007,ENSXMAG00000012680,ENSXMAG00000015521,ENSXMAG00000019529,ENSXMAG00000019890,ENSXMAG00000020363	tfpi2,kdm6al,vangl2,sox10,fn1a,adgra2,scrib,lhx2b,eya4,sema3e,SEMA3C,cdc73,vwa1,myo6a,MYPN,lgi1b,NAV1,csrp1a,PPP1R9B,ednraa,ttpa,znf503,nsfa,smo,hgfa,nherf1a,adgrg1,fgf22,git2a,exoc5,TMEM260,FMNL2,ogg1,sema3fa,lrsam1,prickle1a,synj1,id3,sema6e,casp9,kctd12.2,cnr1,nono,rab33a,klf7b,rfx4,nrp2b,sema4c,slit1a,sema3d,runx1,znf703,klf6a,nav3,MYH10,RELN,yap1,vwc2,fbl,gper1,NAV2,kirrel3l,tardbpa,COL6A2,agrn,npas4a,prdm1a,SYNGAP1,nlgn2a,met,nipa1,lrp5,lhx4,s1pr2,lrrn1,lepr,gap43,pax2a,isl2a,PLXNB3,sema3ab,bbs2,robo3,atg4da,si:dkey-221l4.10,ndrg2,plp1a,sncb,fsta,ino80e,lzic,DSCAML1,notum1a,zic6,rac3b,phf10,slc33a1,nrg2b,SEMA6B,ccdc85b,SLITRK4,SLITRK5,rtn4a,fgf19,GBA2,mnx2b,gtdc1,camsap2a,il34,rad21a,DOC2A,impact,pax5,cnot8,pou3f1,ascl1b,tal2
GO:0007417	0.00976639757642351	1.49089473056748	40.990501842926	55	199	central nervous system development	ENSXMAG00000000682,ENSXMAG00000001152,ENSXMAG00000001157,ENSXMAG00000001603,ENSXMAG00000001821,ENSXMAG00000003908,ENSXMAG00000004807,ENSXMAG00000007930,ENSXMAG00000010350,ENSXMAG00000010546,ENSXMAG00000010812,ENSXMAG00000011005,ENSXMAG00000011418,ENSXMAG00000011562,ENSXMAG00000012134,ENSXMAG00000012475,ENSXMAG00000014010,ENSXMAG00000015312,ENSXMAG00000015332,ENSXMAG00000015928,ENSXMAG00000017299,ENSXMAG00000019439,ENSXMAG00000019883,ENSXMAG00000000843,ENSXMAG00000001638,ENSXMAG00000004564,ENSXMAG00000006275,ENSXMAG00000007226,ENSXMAG00000007536,ENSXMAG00000008075,ENSXMAG00000009518,ENSXMAG00000010464,ENSXMAG00000012381,ENSXMAG00000013170,ENSXMAG00000013527,ENSXMAG00000014457,ENSXMAG00000018968,ENSXMAG00000003038,ENSXMAG00000007016,ENSXMAG00000010188,ENSXMAG00000010963,ENSXMAG00000011534,ENSXMAG00000013401,ENSXMAG00000014734,ENSXMAG00000017004,ENSXMAG00000000174,ENSXMAG00000001523,ENSXMAG00000001845,ENSXMAG00000001877,ENSXMAG00000002131,ENSXMAG00000006373,ENSXMAG00000010941,ENSXMAG00000019529,ENSXMAG00000019890,ENSXMAG00000020363	tfpi2,kdm6al,vangl2,sox10,fn1a,lhx2b,cdc73,lgi1b,ttpa,znf503,nsfa,smo,hgfa,nherf1a,adgrg1,fgf22,git2a,TMEM260,FMNL2,ogg1,prickle1a,kctd12.2,nono,rab33a,rfx4,znf703,MYH10,RELN,yap1,vwc2,gper1,kirrel3l,agrn,npas4a,SYNGAP1,met,lhx4,pax2a,atg4da,fsta,ino80e,lzic,zic6,rac3b,slc33a1,rtn4a,fgf19,GBA2,mnx2b,gtdc1,il34,DOC2A,pou3f1,ascl1b,tal2
GO:0007507	0.00607048593378921	1.57410387878509	35.8409413098951	50	174	heart development	ENSXMAG00000000682,ENSXMAG00000001152,ENSXMAG00000001821,ENSXMAG00000003253,ENSXMAG00000003376,ENSXMAG00000004289,ENSXMAG00000004304,ENSXMAG00000004642,ENSXMAG00000005676,ENSXMAG00000008165,ENSXMAG00000009982,ENSXMAG00000010381,ENSXMAG00000011005,ENSXMAG00000011837,ENSXMAG00000012383,ENSXMAG00000012618,ENSXMAG00000014459,ENSXMAG00000014934,ENSXMAG00000015268,ENSXMAG00000015928,ENSXMAG00000017299,ENSXMAG00000019406,ENSXMAG00000019414,ENSXMAG00000001540,ENSXMAG00000002084,ENSXMAG00000002555,ENSXMAG00000004396,ENSXMAG00000005372,ENSXMAG00000006463,ENSXMAG00000007485,ENSXMAG00000007536,ENSXMAG00000007968,ENSXMAG00000008979,ENSXMAG00000009602,ENSXMAG00000009956,ENSXMAG00000012135,ENSXMAG00000013888,ENSXMAG00000015423,ENSXMAG00000016712,ENSXMAG00000017689,ENSXMAG00000019951,ENSXMAG00000004102,ENSXMAG00000004259,ENSXMAG00000008851,ENSXMAG00000011009,ENSXMAG00000013581,ENSXMAG00000019787,ENSXMAG00000008586,ENSXMAG00000015247,ENSXMAG00000018837	tfpi2,kdm6al,fn1a,kat2b,tpm4a,eya4,stk25b,glis2b,htr2b,csrp1a,pkd2,smyd4,smo,ttc17,hspb7,mbnl2,cadm4,popdc2,exoc5,ogg1,prickle1a,nr2f1a,mef2cb,ITGA4,sox17,pabpc1a,runx1,tbx3a,cftr,vcp,yap1,tmsb4x,KDM6B,ugdh,becn1,npnta,wnt11,tead1a,dsc2l,chrm2a,s1pr2,rpa1,bmpr1aa,odad4,itgb1a,apln,twist1b,rad21a,aplnra,ube2ia
GO:0008015	0.00459246359089103	2.13735150244584	12.7709101219166	22	62	blood circulation	ENSXMAG00000000221,ENSXMAG00000003376,ENSXMAG00000005676,ENSXMAG00000009592,ENSXMAG00000009982,ENSXMAG00000010710,ENSXMAG00000010944,ENSXMAG00000011072,ENSXMAG00000014423,ENSXMAG00000014934,ENSXMAG00000015733,ENSXMAG00000001540,ENSXMAG00000002400,ENSXMAG00000007485,ENSXMAG00000009000,ENSXMAG00000009518,ENSXMAG00000009979,ENSXMAG00000016712,ENSXMAG00000017689,ENSXMAG00000001476,ENSXMAG00000016163,ENSXMAG00000008586	emp2,tpm4a,htr2b,ednraa,pkd2,bin1b,cryaba,acvrl1,acta2,popdc2,slc8a1a,ITGA4,plvapb,vcp,adra1bb,gper1,BDKRB2,dsc2l,chrm2a,src,uts2a,rad21a
GO:0008217	0.029518106854155	11.5862068965517	0.823929685284945	3	4	regulation of blood pressure	ENSXMAG00000000221,ENSXMAG00000009592,ENSXMAG00000016163	emp2,ednraa,uts2a
GO:0008283	0.0249328195705097	1.77093453971338	13.8008222285228	21	67	cell population proliferation	ENSXMAG00000000592,ENSXMAG00000003465,ENSXMAG00000005438,ENSXMAG00000006746,ENSXMAG00000011178,ENSXMAG00000012134,ENSXMAG00000012475,ENSXMAG00000015476,ENSXMAG00000016482,ENSXMAG00000018758,ENSXMAG00000019406,ENSXMAG00000004396,ENSXMAG00000004738,ENSXMAG00000009518,ENSXMAG00000014788,ENSXMAG00000018788,ENSXMAG00000020266,ENSXMAG00000004048,ENSXMAG00000009764,ENSXMAG00000001523,ENSXMAG00000006373	rad51,jak2a,TET2,frzb,erbb3b,adgrg1,fgf22,PTK2,egfra,ythdf2,nr2f1a,runx1,klf6a,gper1,sav1,fgfr4,nrarpa,ptk2bb,pola2,fgf19,il34
GO:0008284	0.00461448537222482	5.4179806362379	2.47178905585483	7	12	positive regulation of cell population proliferation	ENSXMAG00000003465,ENSXMAG00000015476,ENSXMAG00000009518,ENSXMAG00000018788,ENSXMAG00000004048,ENSXMAG00000001523,ENSXMAG00000006373	jak2a,PTK2,gper1,fgfr4,ptk2bb,fgf19,il34
GO:0008354	0.0087252524284668	Inf	0.617947263963709	3	3	germ cell migration	ENSXMAG00000001152,ENSXMAG00000006463,ENSXMAG00000002926	kdm6al,cftr,pum3
GO:0009653	0.00275184497729486	1.31073868684702	139.244116813156	168	676	anatomical structure morphogenesis	ENSXMAG00000000203,ENSXMAG00000000682,ENSXMAG00000001157,ENSXMAG00000001243,ENSXMAG00000001603,ENSXMAG00000001821,ENSXMAG00000001857,ENSXMAG00000001864,ENSXMAG00000002200,ENSXMAG00000003079,ENSXMAG00000003253,ENSXMAG00000003277,ENSXMAG00000003376,ENSXMAG00000003465,ENSXMAG00000003908,ENSXMAG00000004021,ENSXMAG00000004289,ENSXMAG00000004304,ENSXMAG00000004318,ENSXMAG00000004642,ENSXMAG00000004792,ENSXMAG00000004822,ENSXMAG00000005268,ENSXMAG00000005438,ENSXMAG00000005525,ENSXMAG00000006278,ENSXMAG00000007024,ENSXMAG00000007110,ENSXMAG00000007610,ENSXMAG00000007759,ENSXMAG00000007930,ENSXMAG00000008078,ENSXMAG00000008165,ENSXMAG00000008839,ENSXMAG00000009982,ENSXMAG00000010381,ENSXMAG00000010463,ENSXMAG00000010546,ENSXMAG00000010812,ENSXMAG00000010944,ENSXMAG00000011004,ENSXMAG00000011005,ENSXMAG00000011072,ENSXMAG00000011418,ENSXMAG00000012134,ENSXMAG00000012475,ENSXMAG00000013160,ENSXMAG00000013193,ENSXMAG00000014010,ENSXMAG00000014459,ENSXMAG00000014934,ENSXMAG00000015268,ENSXMAG00000015332,ENSXMAG00000015616,ENSXMAG00000015733,ENSXMAG00000016298,ENSXMAG00000016530,ENSXMAG00000017299,ENSXMAG00000017524,ENSXMAG00000017538,ENSXMAG00000017903,ENSXMAG00000018352,ENSXMAG00000018758,ENSXMAG00000018793,ENSXMAG00000019384,ENSXMAG00000019406,ENSXMAG00000019414,ENSXMAG00000019439,ENSXMAG00000019630,ENSXMAG00000020390,ENSXMAG00000000843,ENSXMAG00000001299,ENSXMAG00000001667,ENSXMAG00000001898,ENSXMAG00000002351,ENSXMAG00000002497,ENSXMAG00000003628,ENSXMAG00000004237,ENSXMAG00000004396,ENSXMAG00000004564,ENSXMAG00000004738,ENSXMAG00000005219,ENSXMAG00000005890,ENSXMAG00000006154,ENSXMAG00000006213,ENSXMAG00000006275,ENSXMAG00000006331,ENSXMAG00000006412,ENSXMAG00000006463,ENSXMAG00000006811,ENSXMAG00000007143,ENSXMAG00000007385,ENSXMAG00000007485,ENSXMAG00000007536,ENSXMAG00000007968,ENSXMAG00000008315,ENSXMAG00000008979,ENSXMAG00000009602,ENSXMAG00000010464,ENSXMAG00000010697,ENSXMAG00000011345,ENSXMAG00000011687,ENSXMAG00000012113,ENSXMAG00000012135,ENSXMAG00000012381,ENSXMAG00000013351,ENSXMAG00000013400,ENSXMAG00000013527,ENSXMAG00000013825,ENSXMAG00000013888,ENSXMAG00000014457,ENSXMAG00000014937,ENSXMAG00000015290,ENSXMAG00000015415,ENSXMAG00000015617,ENSXMAG00000016132,ENSXMAG00000016162,ENSXMAG00000016174,ENSXMAG00000016712,ENSXMAG00000016886,ENSXMAG00000019951,ENSXMAG00000020066,ENSXMAG00000020230,ENSXMAG00000020266,ENSXMAG00000020354,ENSXMAG00000002115,ENSXMAG00000003038,ENSXMAG00000003093,ENSXMAG00000003393,ENSXMAG00000004225,ENSXMAG00000004274,ENSXMAG00000004796,ENSXMAG00000005893,ENSXMAG00000006003,ENSXMAG00000006106,ENSXMAG00000006487,ENSXMAG00000007016,ENSXMAG00000008851,ENSXMAG00000009102,ENSXMAG00000010188,ENSXMAG00000010462,ENSXMAG00000010780,ENSXMAG00000011009,ENSXMAG00000011358,ENSXMAG00000011865,ENSXMAG00000012791,ENSXMAG00000013421,ENSXMAG00000013581,ENSXMAG00000014734,ENSXMAG00000017004,ENSXMAG00000018674,ENSXMAG00000019513,ENSXMAG00000019653,ENSXMAG00000019787,ENSXMAG00000020149,ENSXMAG00000000174,ENSXMAG00000000193,ENSXMAG00000001523,ENSXMAG00000001845,ENSXMAG00000002046,ENSXMAG00000008586,ENSXMAG00000009523,ENSXMAG00000009676,ENSXMAG00000010751,ENSXMAG00000015247,ENSXMAG00000017028,ENSXMAG00000018837,ENSXMAG00000019890	angptl2b,tfpi2,vangl2,fli1,sox10,fn1a,adgra2,scrib,mitfa,foxf1,kat2b,notch1b,tpm4a,jak2a,lhx2b,ANO6,eya4,stk25b,sema3e,glis2b,SEMA3C,vwa1,ift74,TET2,vcam1b,lats1,ube3d,ccdc80,myo6a,MYPN,lgi1b,AFAP1L2,csrp1a,CDC42,pkd2,smyd4,sfrp1a,znf503,nsfa,cryaba,itga9,smo,acvrl1,hgfa,adgrg1,fgf22,TMEM67,kdrl,git2a,cadm4,popdc2,exoc5,FMNL2,pgm5,slc8a1a,edar,sema3fa,prickle1a,synj1,polr1d,SLC2A1,sec23a,ythdf2,fat1a,casp9,nr2f1a,mef2cb,kctd12.2,cnr1,fzd7b,rab33a,klf7b,ches1,nrp2b,sema4c,f3a,mylipa,sema3d,runx1,znf703,klf6a,mcrs1,rbck1,cdk5r2a,nav3,MYH10,igfbp3,map2k7,cftr,MEGF8,irf6,ephb4b,vcp,yap1,tmsb4x,hsp90aa1.1,KDM6B,ugdh,kirrel3l,cldn15a,tardbpa,COL6A2,fat3a,npnta,agrn,prdm1a,mks1,SYNGAP1,prdm5,wnt11,met,tbp,snrkb,ntn4,WWC1,nipa1,lrp5,per2,dsc2l,FMNL1,s1pr2,lrrn1,lpar6a,nrarpa,scg2b,ptpra,pax2a,isl2a,PLXNB3,sox7,sema3ab,slc3a2b,ptges,bbs2,robo3,abca1a,atg4da,odad4,foxd1,fsta,foxi3b,mffa,itgb1a,mpzl1l,DSCAML1,ADGRB1,lpar2a,apln,rac3b,slc33a1,ybx1,ccdc85b,SLITRK4,twist1b,SLITRK5,rtn4a,nfkb2,fgf19,GBA2,gatd3l,rad21a,wnt16,flt4,palm1a,aplnra,foxf2a,ube2ia,ascl1b
GO:0009790	0.0222896972051114	1.29090094128194	79.7151970513184	96	387	embryo development	ENSXMAG00000000531,ENSXMAG00000001157,ENSXMAG00000001603,ENSXMAG00000001821,ENSXMAG00000001864,ENSXMAG00000002200,ENSXMAG00000003465,ENSXMAG00000004055,ENSXMAG00000004289,ENSXMAG00000004642,ENSXMAG00000005268,ENSXMAG00000005438,ENSXMAG00000005440,ENSXMAG00000006278,ENSXMAG00000007110,ENSXMAG00000008078,ENSXMAG00000008165,ENSXMAG00000009123,ENSXMAG00000009982,ENSXMAG00000010350,ENSXMAG00000010381,ENSXMAG00000010463,ENSXMAG00000010546,ENSXMAG00000011005,ENSXMAG00000012475,ENSXMAG00000012618,ENSXMAG00000013160,ENSXMAG00000013499,ENSXMAG00000014010,ENSXMAG00000014732,ENSXMAG00000014934,ENSXMAG00000015928,ENSXMAG00000016442,ENSXMAG00000017299,ENSXMAG00000017538,ENSXMAG00000017899,ENSXMAG00000018352,ENSXMAG00000018758,ENSXMAG00000018793,ENSXMAG00000019414,ENSXMAG00000019883,ENSXMAG00000020390,ENSXMAG00000002084,ENSXMAG00000002707,ENSXMAG00000003189,ENSXMAG00000003628,ENSXMAG00000004101,ENSXMAG00000004396,ENSXMAG00000004564,ENSXMAG00000005372,ENSXMAG00000005890,ENSXMAG00000006154,ENSXMAG00000006275,ENSXMAG00000006306,ENSXMAG00000006331,ENSXMAG00000006412,ENSXMAG00000006463,ENSXMAG00000006811,ENSXMAG00000007143,ENSXMAG00000007385,ENSXMAG00000007485,ENSXMAG00000007536,ENSXMAG00000007968,ENSXMAG00000009518,ENSXMAG00000013351,ENSXMAG00000013400,ENSXMAG00000013825,ENSXMAG00000013888,ENSXMAG00000014533,ENSXMAG00000014937,ENSXMAG00000015290,ENSXMAG00000015617,ENSXMAG00000016162,ENSXMAG00000016712,ENSXMAG00000019692,ENSXMAG00000019951,ENSXMAG00000020066,ENSXMAG00000002115,ENSXMAG00000003038,ENSXMAG00000005893,ENSXMAG00000006003,ENSXMAG00000008681,ENSXMAG00000008851,ENSXMAG00000010188,ENSXMAG00000012330,ENSXMAG00000013581,ENSXMAG00000018674,ENSXMAG00000018711,ENSXMAG00000019513,ENSXMAG00000019787,ENSXMAG00000000174,ENSXMAG00000008586,ENSXMAG00000009523,ENSXMAG00000015247,ENSXMAG00000018837,ENSXMAG00000019890	col11a1b,vangl2,sox10,fn1a,scrib,mitfa,jak2a,fstl1b,eya4,glis2b,ift74,TET2,TNPO1,lats1,ccdc80,AFAP1L2,csrp1a,plod2,pkd2,ttpa,smyd4,sfrp1a,znf503,smo,fgf22,mbnl2,TMEM67,smg5,git2a,csf3r,popdc2,ogg1,lamb2,prickle1a,polr1d,meox1,sec23a,ythdf2,fat1a,mef2cb,nono,fzd7b,sox17,chd2,myct1a,mylipa,chaf1b,runx1,znf703,tbx3a,rbck1,cdk5r2a,MYH10,sumo1,igfbp3,map2k7,cftr,MEGF8,irf6,ephb4b,vcp,yap1,tmsb4x,gper1,prdm1a,mks1,prdm5,wnt11,cavin1b,tbp,snrkb,WWC1,lrp5,dsc2l,cebpa,s1pr2,lrrn1,ptpra,pax2a,ptges,bbs2,rbm22,odad4,fsta,notum1a,apln,ybx1,ash2l,ccdc85b,twist1b,rtn4a,rad21a,wnt16,aplnra,ube2ia,ascl1b
GO:0009799	0.0138881803065689	1.65922589725545	22.0401190813723	32	107	specification of symmetry	ENSXMAG00000001821,ENSXMAG00000004642,ENSXMAG00000004835,ENSXMAG00000009982,ENSXMAG00000010381,ENSXMAG00000011005,ENSXMAG00000011072,ENSXMAG00000011837,ENSXMAG00000014934,ENSXMAG00000015268,ENSXMAG00000017157,ENSXMAG00000017299,ENSXMAG00000002084,ENSXMAG00000004564,ENSXMAG00000006811,ENSXMAG00000007536,ENSXMAG00000007968,ENSXMAG00000009602,ENSXMAG00000013888,ENSXMAG00000015423,ENSXMAG00000017124,ENSXMAG00000004259,ENSXMAG00000006003,ENSXMAG00000006106,ENSXMAG00000008851,ENSXMAG00000010188,ENSXMAG00000013404,ENSXMAG00000013581,ENSXMAG00000017367,ENSXMAG00000008586,ENSXMAG00000015247,ENSXMAG00000018837	fn1a,glis2b,NOMO1,pkd2,smyd4,smo,acvrl1,ttc17,popdc2,exoc5,ssx2ipa,prickle1a,sox17,znf703,MEGF8,yap1,tmsb4x,ugdh,wnt11,tead1a,bmpr1ba,bmpr1aa,bbs2,robo3,odad4,fsta,zic3,apln,aida,rad21a,aplnra,ube2ia
GO:0009855	0.0138881803065689	1.65922589725545	22.0401190813723	32	107	determination of bilateral symmetry	ENSXMAG00000001821,ENSXMAG00000004642,ENSXMAG00000004835,ENSXMAG00000009982,ENSXMAG00000010381,ENSXMAG00000011005,ENSXMAG00000011072,ENSXMAG00000011837,ENSXMAG00000014934,ENSXMAG00000015268,ENSXMAG00000017157,ENSXMAG00000017299,ENSXMAG00000002084,ENSXMAG00000004564,ENSXMAG00000006811,ENSXMAG00000007536,ENSXMAG00000007968,ENSXMAG00000009602,ENSXMAG00000013888,ENSXMAG00000015423,ENSXMAG00000017124,ENSXMAG00000004259,ENSXMAG00000006003,ENSXMAG00000006106,ENSXMAG00000008851,ENSXMAG00000010188,ENSXMAG00000013404,ENSXMAG00000013581,ENSXMAG00000017367,ENSXMAG00000008586,ENSXMAG00000015247,ENSXMAG00000018837	fn1a,glis2b,NOMO1,pkd2,smyd4,smo,acvrl1,ttc17,popdc2,exoc5,ssx2ipa,prickle1a,sox17,znf703,MEGF8,yap1,tmsb4x,ugdh,wnt11,tead1a,bmpr1ba,bmpr1aa,bbs2,robo3,odad4,fsta,zic3,apln,aida,rad21a,aplnra,ube2ia
GO:0010563	0.029518106854155	11.5862068965517	0.823929685284945	3	4	negative regulation of phosphorus metabolic process	ENSXMAG00000015044,ENSXMAG00000001245,ENSXMAG00000017367	camk2n1a,pkig,aida
GO:0010712	0.0424055686599227	Inf	0.411964842642472	2	2	regulation of collagen metabolic process	ENSXMAG00000009982,ENSXMAG00000004396	pkd2,runx1
GO:0010950	0.0087252524284668	Inf	0.617947263963709	3	3	positive regulation of endopeptidase activity	ENSXMAG00000010490,ENSXMAG00000009956,ENSXMAG00000008586	hdr,becn1,rad21a
GO:0010952	0.0087252524284668	Inf	0.617947263963709	3	3	positive regulation of peptidase activity	ENSXMAG00000010490,ENSXMAG00000009956,ENSXMAG00000008586	hdr,becn1,rad21a
GO:0015865	0.0424055686599227	Inf	0.411964842642472	2	2	purine nucleotide transport	ENSXMAG00000012911,ENSXMAG00000017004	slc25a4,slc33a1
GO:0015868	0.0424055686599227	Inf	0.411964842642472	2	2	purine ribonucleotide transport	ENSXMAG00000012911,ENSXMAG00000017004	slc25a4,slc33a1
GO:0016331	0.032405827876138	2.48728729719034	4.73759569038843	9	23	morphogenesis of embryonic epithelium	ENSXMAG00000001157,ENSXMAG00000001864,ENSXMAG00000002200,ENSXMAG00000008078,ENSXMAG00000010463,ENSXMAG00000011005,ENSXMAG00000012475,ENSXMAG00000018793,ENSXMAG00000019513	vangl2,scrib,mitfa,AFAP1L2,sfrp1a,smo,fgf22,fat1a,ccdc85b
GO:0017182	0.029518106854155	11.5862068965517	0.823929685284945	3	4	peptidyl-diphthamide metabolic process	ENSXMAG00000004147,ENSXMAG00000001969,ENSXMAG00000009590	dph1,dph2,dph6
GO:0017183	0.029518106854155	11.5862068965517	0.823929685284945	3	4	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	ENSXMAG00000004147,ENSXMAG00000001969,ENSXMAG00000009590	dph1,dph2,dph6
GO:0018202	0.029518106854155	11.5862068965517	0.823929685284945	3	4	peptidyl-histidine modification	ENSXMAG00000004147,ENSXMAG00000001969,ENSXMAG00000009590	dph1,dph2,dph6
GO:0019220	0.049296111295537	2.0269467010105	6.59143748227956	11	32	regulation of phosphate metabolic process	ENSXMAG00000004475,ENSXMAG00000013476,ENSXMAG00000017904,ENSXMAG00000009371,ENSXMAG00000009518,ENSXMAG00000015044,ENSXMAG00000016259,ENSXMAG00000001245,ENSXMAG00000002115,ENSXMAG00000017367,ENSXMAG00000006373	tpx2,mnat1,ppp1r14aa,ppp2r3c,gper1,camk2n1a,ppp6r3,pkig,ptpra,aida,il34
GO:0019377	0.0087252524284668	Inf	0.617947263963709	3	3	glycolipid catabolic process	ENSXMAG00000003245,ENSXMAG00000015701,ENSXMAG00000001845	gm2a,galcb,GBA2
GO:0019953	0.0136779961063131	2.39880952380952	7.00340232492203	13	34	sexual reproduction	ENSXMAG00000001152,ENSXMAG00000004643,ENSXMAG00000005524,ENSXMAG00000011812,ENSXMAG00000006463,ENSXMAG00000008836,ENSXMAG00000009518,ENSXMAG00000011679,ENSXMAG00000015512,ENSXMAG00000019863,ENSXMAG00000002246,ENSXMAG00000002926,ENSXMAG00000018674	kdm6al,zgc:173556,ggnbp2,zar1,cftr,m1ap,gper1,nemp1,rnf114,paqr7b,lepr,pum3,ybx1
